Class,Subject,Chapter,Topic,Total Questions,Total Answers
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৩_ তথ্য ও যোগাযোগ প্রযুক্তির নিরাপদ ব্যবহার","MCQ",634,634
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৩_ তথ্য ও যোগাযোগ প্রযুক্তির নিরাপদ ব্যবহার","সংক্ষিপ্ত",94,94
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৩_ তথ্য ও যোগাযোগ প্রযুক্তির নিরাপদ ব্যবহার","True False",4,4
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৪_ ওয়ার্ড প্রসেসিং","ওয়ার্ড প্রসেসর কী",37,37
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৪_ ওয়ার্ড প্রসেসিং","ওয়ার্ড প্রসেসর ব্যবহার করে নতুন ফাইল খোলা ও লেখা",76,76
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৪_ ওয়ার্ড প্রসেসিং","তথ্য ও যোগাযোগ প্রযুক্তিতে ওয়ার্ড প্রসেসরের গুরুত্ব",3,3
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৪_ ওয়ার্ড প্রসেসিং","CQ",66,66
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৪_ ওয়ার্ড প্রসেসিং","MCQ",496,496
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৪_ ওয়ার্ড প্রসেসিং","সংক্ষিপ্ত",77,77
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৫_ ইন্টারনেট পরিচিতি","ইন্টারনেট",34,34
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৫_ ইন্টারনেট পরিচিতি","ইন্টারনেট সংযোগ ও নেটওয়ার্ক নেটওয়ার্ক খেলা",27,27
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৫_ ইন্টারনেট পরিচিতি","ওয়েব ব্রাউজার ও সার্চ ইঞ্জিন",47,47
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৫_ ইন্টারনেট পরিচিতি","ওয়েবসাইট",22,22
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৫_ ইন্টারনেট পরিচিতি","CQ",66,66
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৫_ ইন্টারনেট পরিচিতি","MCQ",457,457
"class-6","তথ্য ও যোগাযোগ প্রযুক্তি","অধ্যায়-০৫_ ইন্টারনেট পরিচিতি","সংক্ষিপ্ত",94,94
"class-6","বাংলা ১ম পত্র","আনন্দপাঠ","সাত ভাই চম্পা",62,62
"class-6","বাংলা ১ম পত্র","আনন্দপাঠ","CQ",17,17
"class-6","বাংলা ১ম পত্র","আনন্দপাঠ","MCQ",45,45
"class-6","বাংলা ১ম পত্র","কবিতা","আসমানি",106,106
"class-6","বাংলা ১ম পত্র","কবিতা","চিঠি বিলি",73,73
"class-6","বাংলা ১ম পত্র","কবিতা","জন্মভূমি",148,148
"class-6","বাংলা ১ম পত্র","কবিতা","ঝিঙে ফুল",99,99
"class-6","বাংলা ১ম পত্র","কবিতা","পাখির কাছে ফুলের কাছে",87,87
"class-6","বাংলা ১ম পত্র","কবিতা","ফাগুন মাস",88,88
"class-6","বাংলা ১ম পত্র","কবিতা","বাঁচতে দাও",82,82
"class-6","বাংলা ১ম পত্র","কবিতা","মানুষ জাতি",65,65
"class-6","বাংলা ১ম পত্র","কবিতা","সুখ",79,79
"class-6","বাংলা ১ম পত্র","কবিতা","CQ",71,71
"class-6","বাংলা ১ম পত্র","কবিতা","MCQ",756,756
"class-6","বাংলা ১ম পত্র","গদ্য","আকাশ",113,113
"class-6","বাংলা ১ম পত্র","গদ্য","আমাদের লোকশিল্প",153,153
"class-6","বাংলা ১ম পত্র","গদ্য","কত কাল ধরে",126,126
"class-6","বাংলা ১ম পত্র","গদ্য","কার্টুন, ব্যঙ্গচিত্র ও পোস্টারের ভাষা",78,78
"class-6","বাংলা ১ম পত্র","গদ্য","তোলপাড়",124,124
"class-6","বাংলা ১ম পত্র","গদ্য","নীল নদ আর পিরামিডের দেশ",147,147
"class-6","বাংলা ১ম পত্র","গদ্য","মাদার তেরেসা",114,114
"class-6","বাংলা ১ম পত্র","গদ্য","মিনু",125,125
"class-6","বাংলা ১ম পত্র","গদ্য","সততার পুরস্কার",190,110
"class-6","বাংলা ১ম পত্র","গদ্য","CQ",64,64
"class-6","বাংলা ১ম পত্র","গদ্য","MCQ",1098,1026
"class-6","বাংলা ১ম পত্র","গদ্য","সংক্ষিপ্ত",8,0
"class-6","বাংলা ২য় পত্র","ব্যাকরণ","পরিচ্ছেদ-১ঃ ভাষা ও বাংলা ভাষা",97,97
"class-6","বাংলা ২য় পত্র","ব্যাকরণ","পরিচ্ছেদ-২ঃ ধ্বনিতত্ত্ব",200,200
"class-6","বাংলা ২য় পত্র","ব্যাকরণ","পরিচ্ছেদ-৩ঃ রূপতত্ত্ব",185,185
"class-6","বাংলা ২য় পত্র","ব্যাকরণ","পরিচ্ছেদ-৪ঃ বাক্যতত্ত্ব",50,50
"class-6","বাংলা ২য় পত্র","ব্যাকরণ","পরিচ্ছেদ-৫ঃ বাগর্থ",86,86
"class-6","বাংলা ২য় পত্র","ব্যাকরণ","পরিচ্ছেদ-৬ঃ বানান",40,40
"class-6","বাংলা ২য় পত্র","ব্যাকরণ","পরিচ্ছেদ-৭ঃ বিরামচিহ্ন",64,64
"class-6","বাংলা ২য় পত্র","ব্যাকরণ","পরিচ্ছেদ-৮ঃ অভিধান",82,82
"class-6","বাংলা ২য় পত্র","ব্যাকরণ","MCQ",885,885
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০১_ সমাজ বিবর্তনের ইতিহাস","CQ",13,13
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০১_ সমাজ বিবর্তনের ইতিহাস","MCQ",345,345
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০১_ সমাজ বিবর্তনের ইতিহাস","সংক্ষিপ্ত",61,61
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০২_ বাংলাদেশের ইতিহাস","CQ",30,30
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০২_ বাংলাদেশের ইতিহাস","MCQ",415,415
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০২_ বাংলাদেশের ইতিহাস","সংক্ষিপ্ত",48,48
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৩_ বাংলাদেশের সংস্কৃতি ও সমাজ","CQ",15,15
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৩_ বাংলাদেশের সংস্কৃতি ও সমাজ","MCQ",202,202
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৩_ বাংলাদেশের সংস্কৃতি ও সমাজ","সংক্ষিপ্ত",30,30
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৪_ বাংলাদেশের অর্থনীতি","MCQ",24,24
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৫_ বাংলাদেশ ও বাংলাদেশের নাগরিক","CQ",26,26
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৫_ বাংলাদেশ ও বাংলাদেশের নাগরিক","MCQ",438,438
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৫_ বাংলাদেশ ও বাংলাদেশের নাগরিক","সংক্ষিপ্ত",91,91
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৬_ বাংলাদেশের পরিবেশ","CQ",13,13
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৬_ বাংলাদেশের পরিবেশ","MCQ",280,280
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৬_ বাংলাদেশের পরিবেশ","সংক্ষিপ্ত",36,36
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৭_ শিশুর বেড়ে ওঠা ও প্রতিবন্ধকতা_ সামাজিকীকরণ","CQ",15,15
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৭_ শিশুর বেড়ে ওঠা ও প্রতিবন্ধকতা_ সামাজিকীকরণ","MCQ",286,286
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৭_ শিশুর বেড়ে ওঠা ও প্রতিবন্ধকতা_ সামাজিকীকরণ","সংক্ষিপ্ত",46,46
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৮_ বাংলাদেশ ও আঞ্চলিক সহযোগিতা","CQ",8,8
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৮_ বাংলাদেশ ও আঞ্চলিক সহযোগিতা","MCQ",226,226
"class-6","বাংলাদেশ ও বিশ্বপরিচয়","অধ্যায়-০৮_ বাংলাদেশ ও আঞ্চলিক সহযোগিতা","সংক্ষিপ্ত",28,28
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","আয়তন ও তার পরিমাপ",14,14
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","ক্ষেত্রফল ও তার পরিমাপ",10,10
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","তরল পদার্থের আয়তন নির্ণয়",7,7
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","দৈর্ঘ্য, ভর ও সময়ের পরিমাপ",11,11
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","পরিমাপের প্রয়োজনীয়তা",12,12
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","পরীক্ষণ",13,13
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","বিজ্ঞান কী",13,13
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","ভরের একক",17,17
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","মৌলিক ও যৌগিক একক",31,31
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","CQ",34,34
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","MCQ",900,900
"class-6","বিজ্ঞান","অধ্যায়-০১ঃ বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","সংক্ষিপ্ত",13,13
"class-6","বিজ্ঞান","অধ্যায়-০২ঃ জীবজগৎ","অপুষ্পক উদ্ভিদ",19,19
"class-6","বিজ্ঞান","অধ্যায়-০২ঃ জীবজগৎ","অমেরুদণ্ডী ও মেরুদণ্ডী প্রাণীর বৈশিষ্ট্য",28,28
"class-6","বিজ্ঞান","অধ্যায়-০২ঃ জীবজগৎ","আবৃতবীজী উদ্ভিদ",11,11
"class-6","বিজ্ঞান","অধ্যায়-০২ঃ জীবজগৎ","জীবজগতের শ্রেণিকরণ",17,17
"class-6","বিজ্ঞান","অধ্যায়-০২ঃ জীবজগৎ","জীবের প্রধান বৈশিষ্ট্য",19,19
"class-6","বিজ্ঞান","অধ্যায়-০২ঃ জীবজগৎ","সপুষ্পক উদ্ভিদ",14,14
"class-6","বিজ্ঞান","অধ্যায়-০২ঃ জীবজগৎ","CQ",29,29
"class-6","বিজ্ঞান","অধ্যায়-০২ঃ জীবজগৎ","MCQ",625,625
"class-6","বিজ্ঞান","অধ্যায়-০২ঃ জীবজগৎ","সংক্ষিপ্ত",31,31
"class-6","বিজ্ঞান","অধ্যায়-০৩ঃ উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","পার্ট ১-২ কোষ",16,16
"class-6","বিজ্ঞান","অধ্যায়-০৩ঃ উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","পার্ট ৩-৫ একটি জীব কোষের গঠন",35,35
"class-6","বিজ্ঞান","অধ্যায়-০৩ঃ উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","পার্ট ৬-৮ নিউক্লিয়াস",17,17
"class-6","বিজ্ঞান","অধ্যায়-০৩ঃ উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","পার্ট ৯-১০ জীবদেহে কোষের ভূমিকা",15,15
"class-6","বিজ্ঞান","অধ্যায়-০৩ঃ উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","CQ",28,28
"class-6","বিজ্ঞান","অধ্যায়-০৩ঃ উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","MCQ",455,455
"class-6","বিজ্ঞান","অধ্যায়-০৩ঃ উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","সংক্ষিপ্ত",26,26
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পার্ট ১০ মানবজীবনে মূল, কাণ্ড ও পাতার প্রয়োজনীয়তা",17,17
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পার্ট ৩-৪ মূলের প্রকারভেদ ও কাজ",24,24
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পার্ট ৫ কাণ্ডের বিভিন্ন অংশ",19,19
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পার্ট ৬ কাণ্ডের শ্রেণিকরণ",29,29
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পার্ট ৭ কাণ্ডের কাজ",5,5
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পার্ট ৮ একটি পাতার বিভিন্ন অংশ",22,22
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পার্ট ৯ পত্রের প্রকারভেদ",22,22
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পার্ট-১ আদর্শ সপুষ্পক উদ্ভিদের বাহ্যিক বৈশিষ্ট্য",22,22
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পার্ট-১১ উদ্ভিদ ও প্রাণীর প্রতি আচরণ",4,4
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পার্ট-২ একটি আদর্শ মূলের বিভিন্ন অংশ",10,10
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","CQ",44,44
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","MCQ",840,840
"class-6","বিজ্ঞান","অধ্যায়-০৪ঃ উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","সংক্ষিপ্ত",145,145
"class-6","বিজ্ঞান","অধ্যায়-০৫ঃ সালোকসংশ্লেষণ","পার্ট-১-২ উদ্ভিদ কীভাবে খাদ্য প্রস্তুত করে",27,27
"class-6","বিজ্ঞান","অধ্যায়-০৫ঃ সালোকসংশ্লেষণ","পার্ট-৩-৬ সালোকসংশ্লেষণ পদ্ধতি",26,26
"class-6","বিজ্ঞান","অধ্যায়-০৫ঃ সালোকসংশ্লেষণ","পার্ট-৭ জীবজগতে সালোকসংশ্লেষণের তাৎপর্য ও গুরুত্ব",25,25
"class-6","বিজ্ঞান","অধ্যায়-০৫ঃ সালোকসংশ্লেষণ","CQ",33,33
"class-6","বিজ্ঞান","অধ্যায়-০৫ঃ সালোকসংশ্লেষণ","MCQ",379,379
"class-6","বিজ্ঞান","অধ্যায়-০৫ঃ সালোকসংশ্লেষণ","সংক্ষিপ্ত",84,84
"class-6","বিজ্ঞান","অধ্যায়-০৫ঃ সালোকসংশ্লেষণ","True False",10,10
"class-6","বিজ্ঞান","অধ্যায়-০৬ঃ সংবেদি অঙ্গ","পার্ট ১-৩ সংবেদী অঙ্গ",33,33
"class-6","বিজ্ঞান","অধ্যায়-০৬ঃ সংবেদি অঙ্গ","পার্ট ৪-৫ কান বা কর্ণ",32,32
"class-6","বিজ্ঞান","অধ্যায়-০৬ঃ সংবেদি অঙ্গ","পার্ট-৬ নাক",20,20
"class-6","বিজ্ঞান","অধ্যায়-০৬ঃ সংবেদি অঙ্গ","পার্ট-৭ ত্বক ও ত্বকের যত্ন",15,15
"class-6","বিজ্ঞান","অধ্যায়-০৬ঃ সংবেদি অঙ্গ","CQ",36,36
"class-6","বিজ্ঞান","অধ্যায়-০৬ঃ সংবেদি অঙ্গ","MCQ",676,676
"class-6","বিজ্ঞান","অধ্যায়-০৬ঃ সংবেদি অঙ্গ","সংক্ষিপ্ত",56,56
"class-6","বিজ্ঞান","অধ্যায়-০৭ঃ পদার্থের বৈশিষ্ট্য এবং বাহ্যিক প্রভাব","পার্ট ১-৩ পদার্থের বৈশিষ্ট্য ও শ্রেণিবিণ্যাস",27,27
"class-6","বিজ্ঞান","অধ্যায়-০৭ঃ পদার্থের বৈশিষ্ট্য এবং বাহ্যিক প্রভাব","পার্ট ৪-৬ ধাতু ও অধাতুর বৈশিষ্ট্য",21,21
"class-6","বিজ্ঞান","অধ্যায়-০৭ঃ পদার্থের বৈশিষ্ট্য এবং বাহ্যিক প্রভাব","পার্ট ৭-৮ ধাতু ও অধাতুর বিদ্যুৎ পরিবাহিতা",13,13
"class-6","বিজ্ঞান","অধ্যায়-০৭ঃ পদার্থের বৈশিষ্ট্য এবং বাহ্যিক প্রভাব","পার্ট ৯-১১ গলনাঙ্ক ও স্ফুটনাঙ্ক",23,23
"class-6","বিজ্ঞান","অধ্যায়-০৭ঃ পদার্থের বৈশিষ্ট্য এবং বাহ্যিক প্রভাব","CQ",34,34
"class-6","বিজ্ঞান","অধ্যায়-০৭ঃ পদার্থের বৈশিষ্ট্য এবং বাহ্যিক প্রভাব","MCQ",347,347
"class-6","বিজ্ঞান","অধ্যায়-০৭ঃ পদার্থের বৈশিষ্ট্য এবং বাহ্যিক প্রভাব","সংক্ষিপ্ত",14,14
"class-6","বিজ্ঞান","অধ্যায়-০৮ঃ মিশ্রণ","পার্ট ১-২ মিশ্রণ ও দ্রবণ",17,17
"class-6","বিজ্ঞান","অধ্যায়-০৮ঃ মিশ্রণ","পার্ট ১০-১২ লবণাক্ত পানি হতে লবণের স্ফটিক প্রস্তুতকরণ",24,24
"class-6","বিজ্ঞান","অধ্যায়-০৮ঃ মিশ্রণ","পার্ট ৩-৪ দ্রাব ও দ্রাবক",16,16
"class-6","বিজ্ঞান","অধ্যায়-০৮ঃ মিশ্রণ","পার্ট ৫-৭ সম্পৃক্ত দ্রবণ ও অসম্পৃক্ত দ্রবণ",19,19
"class-6","বিজ্ঞান","অধ্যায়-০৮ঃ মিশ্রণ","পার্ট ৮-৯ সার্বজনীন দ্রাবক",15,15
"class-6","বিজ্ঞান","অধ্যায়-০৮ঃ মিশ্রণ","CQ",37,37
"class-6","বিজ্ঞান","অধ্যায়-০৮ঃ মিশ্রণ","MCQ",575,575
"class-6","বিজ্ঞান","অধ্যায়-০৮ঃ মিশ্রণ","সংক্ষিপ্ত",51,51
"class-6","বিজ্ঞান","অধ্যায়-০৯ঃ আলোর ঘটনা","পার্ট ১-২ আলো কীভাবে চলে",12,12
"class-6","বিজ্ঞান","অধ্যায়-০৯ঃ আলোর ঘটনা","পার্ট ৩ আমরা কীভাবে দেখি",12,12
"class-6","বিজ্ঞান","অধ্যায়-০৯ঃ আলোর ঘটনা","পার্ট ৪-৫ আলোর প্রতিফলন ও শোষণ",17,17
"class-6","বিজ্ঞান","অধ্যায়-০৯ঃ আলোর ঘটনা","পার্ট ৬-৭ দর্পণে আলোর প্রতিফলনের নিয়ম",13,13
"class-6","বিজ্ঞান","অধ্যায়-০৯ঃ আলোর ঘটনা","পার্ট ৮-৯ দর্পণে সৃষ্ট প্রতিবিম্ব",9,9
"class-6","বিজ্ঞান","অধ্যায়-০৯ঃ আলোর ঘটনা","পার্ট ৯-১০ কিছু আলোকীয় ঘটনা",17,17
"class-6","বিজ্ঞান","অধ্যায়-০৯ঃ আলোর ঘটনা","CQ",23,23
"class-6","বিজ্ঞান","অধ্যায়-০৯ঃ আলোর ঘটনা","MCQ",554,554
"class-6","বিজ্ঞান","অধ্যায়-০৯ঃ আলোর ঘটনা","সংক্ষিপ্ত",14,14
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট ৩-৪ নানান প্রকার গতি",11,11
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট-১ স্থিতি ও গতি",15,15
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট-১০ দ্রুতি ও বেগ",30,30
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট-১১ ত্বরণ",12,12
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট-১২ অতিরিক্ত গতি ও জীবনের ঝুঁকি",3,3
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট-২ স্থিতি ও গতি আপেক্ষিক",8,8
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট-৫ ঘূর্ণন গতি",8,8
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট-৬ ঘূর্ণন চলন গতি বা জটিল গতি",7,7
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট-৭ পর্যায়বৃত্ত গতি",8,8
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট-৮ দোলন বা স্পন্দন গতি",6,6
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","পার্ট-৯ দূরত্ব ও সরণ",17,17
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","CQ",36,36
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","MCQ",501,501
"class-6","বিজ্ঞান","অধ্যায়-১০ঃ গতি","সংক্ষিপ্ত",60,60
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","পার্ট ১-২ বল কী",14,14
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","পার্ট ১০-১১ চাকা-অক্ষদণ্ড",11,11
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","পার্ট ১২ মানবদেহ ও সরল যন্ত্র",6,6
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","পার্ট ৩ সরল যন্ত্র",9,9
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","পার্ট ৪ লিভার",16,16
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","পার্ট ৫-৬ লিভারের শ্রেণিবিভাগ",17,17
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","পার্ট ৭ হাতুড়ি",10,10
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","পার্ট ৮-৯ হেলানো তল ও কপিকল",22,22
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","CQ",28,28
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","MCQ",608,608
"class-6","বিজ্ঞান","অধ্যায়-১১ঃ বল এবং সরল যন্ত্র","সংক্ষিপ্ত",35,35
"class-6","বিজ্ঞান","অধ্যায়-১২ঃ পৃথিবীর উৎপত্তি ও গঠন","পার্ট ১-২ মহাবিশ্ব ও পৃথিবীর উৎপত্তি",14,14
"class-6","বিজ্ঞান","অধ্যায়-১২ঃ পৃথিবীর উৎপত্তি ও গঠন","পার্ট ৩-৪ সূর্য, পৃথিবী ও চাঁদের পরিচয়",20,20
"class-6","বিজ্ঞান","অধ্যায়-১২ঃ পৃথিবীর উৎপত্তি ও গঠন","পার্ট ৫ আমাদের বাসস্থান পৃথিবীর গঠন",16,16
"class-6","বিজ্ঞান","অধ্যায়-১২ঃ পৃথিবীর উৎপত্তি ও গঠন","পার্ট ৬ ভূ-পৃষ্ঠ",13,13
"class-6","বিজ্ঞান","অধ্যায়-১২ঃ পৃথিবীর উৎপত্তি ও গঠন","পার্ট ৭ পৃথিবীর অভ্যন্তরীণ গঠন",17,17
"class-6","বিজ্ঞান","অধ্যায়-১২ঃ পৃথিবীর উৎপত্তি ও গঠন","পার্ট ৮-৯ প্লেট টেকটোনিক এবং আগ্নেয়গিরির উদ্গীরণ ও ভূমিকম্প",12,12
"class-6","বিজ্ঞান","অধ্যায়-১২ঃ পৃথিবীর উৎপত্তি ও গঠন","পার্ট ৯-১০ শিলামণ্ডল",19,19
"class-6","বিজ্ঞান","অধ্যায়-১২ঃ পৃথিবীর উৎপত্তি ও গঠন","CQ",31,31
"class-6","বিজ্ঞান","অধ্যায়-১২ঃ পৃথিবীর উৎপত্তি ও গঠন","MCQ",447,447
"class-6","বিজ্ঞান","অধ্যায়-১২ঃ পৃথিবীর উৎপত্তি ও গঠন","সংক্ষিপ্ত",23,23
"class-6","বিজ্ঞান","অধ্যায়-১৩ঃ খাদ্য ও পুষ্টি","পার্ট ৪-৫ স্নেহ বা চর্বি জাতীয় খাদ্য ও ক্যালরি",14,14
"class-6","বিজ্ঞান","অধ্যায়-১৩ঃ খাদ্য ও পুষ্টি","পার্ট-১ খাদ্য ও পুষ্টি",11,11
"class-6","বিজ্ঞান","অধ্যায়-১৩ঃ খাদ্য ও পুষ্টি","পার্ট-২ খাদ্যের প্রকারভেদ",10,10
"class-6","বিজ্ঞান","অধ্যায়-১৩ঃ খাদ্য ও পুষ্টি","পার্ট-৩ প্রোটিন বা আমিষ",12,12
"class-6","বিজ্ঞান","অধ্যায়-১৩ঃ খাদ্য ও পুষ্টি","পার্ট-৬ ভিটামিন",15,15
"class-6","বিজ্ঞান","অধ্যায়-১৩ঃ খাদ্য ও পুষ্টি","পার্ট-৭ খনিজ লবণ ও পানি",13,13
"class-6","বিজ্ঞান","অধ্যায়-১৩ঃ খাদ্য ও পুষ্টি","পার্ট-৮ সুষম ও অপুষ্টি খাদ্য",4,4
"class-6","বিজ্ঞান","অধ্যায়-১৩ঃ খাদ্য ও পুষ্টি","CQ",73,73
"class-6","বিজ্ঞান","অধ্যায়-১৩ঃ খাদ্য ও পুষ্টি","MCQ",492,492
"class-6","বিজ্ঞান","অধ্যায়-১৩ঃ খাদ্য ও পুষ্টি","সংক্ষিপ্ত",50,50
"class-6","বিজ্ঞান","অধ্যায়-১৪ঃ পরিবেশের ভারসাম্য এবং আমাদের জীবন","পার্ট ৩-৪ পরিবেশের জড় ও জীব উপাদান",11,11
