Class,Subject,Chapter,Topic,Total Questions,Total Answers
"class-1","প্রাথমিক গণিত","অধ্যায়-৬-সংখ্যা_ ১১ থেকে ২০","MCQ",1,1
"class-1","প্রাথমিক গণিত","অধ্যায়-৭-যোগ (১১ থেকে ২০)","CQ",2,2
"class-1","প্রাথমিক গণিত","অধ্যায়-৭-যোগ (১১ থেকে ২০)","MCQ",19,19
"class-1","প্রাথমিক গণিত","অধ্যায়-৭-যোগ (১১ থেকে ২০)","সংক্ষিপ্ত",2,2
"class-1","প্রাথমিক গণিত","অধ্যায়-৭-যোগ (১১ থেকে ২০)","True False",2,2
"class-1","প্রাথমিক গণিত","অধ্যায়-৮-বিয়োগ (১১ থেকে ২০)","CQ",3,3
"class-1","প্রাথমিক গণিত","অধ্যায়-৮-বিয়োগ (১১ থেকে ২০)","MCQ",8,8
"class-1","প্রাথমিক গণিত","অধ্যায়-৮-বিয়োগ (১১ থেকে ২০)","সংক্ষিপ্ত",3,3
"class-1","প্রাথমিক গণিত","অধ্যায়-৮-বিয়োগ (১১ থেকে ২০)","True False",2,2
"class-1","প্রাথমিক গণিত","অধ্যায়-৯-সংখ্যা (২১ থেকে ৪০)","MCQ",1,1
"class-1","প্রাথমিক গণিত","অধ্যায়-৯-সংখ্যা (২১ থেকে ৪০)","সংক্ষিপ্ত",1,1
"class-2","English For Today","UNIT 1- Greetings, Introductions and Farewells","MCQ",44,44
"class-2","English For Today","UNIT 1- Greetings, Introductions and Farewells","True False",1,1
"class-2","English For Today","UNIT 3-Commands, Instructions and Requests","MCQ",3,3
"class-2","English For Today","UNIT 3-Commands, Instructions and Requests","সংক্ষিপ্ত",4,4
"class-2","English For Today","UNIT 4-Asking and Answering Questions","MCQ",2,2
"class-2","English For Today","UNIT 4-Asking and Answering Questions","সংক্ষিপ্ত",3,3
"class-2","English For Today","UNIT 5-Days of the Week","MCQ",2,2
"class-2","English For Today","UNIT 5-Days of the Week","সংক্ষিপ্ত",2,2
"class-2","English For Today","UNIT 6-Let's Play with Sounds","MCQ",3,3
"class-2","English For Today","UNIT 6-Let's Play with Sounds","সংক্ষিপ্ত",1,1
"class-2","English For Today","UNIT 7- Colours, Shapes and Signs","MCQ",1,1
"class-2","English For Today","UNIT 7- Colours, Shapes and Signs","True False",1,1
"class-2","আমার বাংলা বই","পাঠ ১-আমার পরিচয়","MCQ",34,34
"class-2","আমার বাংলা বই","পাঠ ১-আমার পরিচয়","সংক্ষিপ্ত",13,13
"class-2","আমার বাংলা বই","পাঠ ১-আমার পরিচয়","True False",3,3
"class-2","আমার বাংলা বই","পাঠ ১০-যুক্তবর্ণ শিখি","MCQ",1,1
"class-2","আমার বাংলা বই","পাঠ ১২-ফলাচিহ্ন শিখি","MCQ",6,6
"class-2","আমার বাংলা বই","পাঠ ১২-ফলাচিহ্ন শিখি","সংক্ষিপ্ত",1,1
"class-2","আমার বাংলা বই","পাঠ ১২-ফলাচিহ্ন শিখি","True False",1,1
"class-2","আমার বাংলা বই","পাঠ ১৩-রেফ চিনি","MCQ",1,1
"class-2","আমার বাংলা বই","পাঠ ১৩-রেফ চিনি","True False",1,1
"class-2","আমার বাংলা বই","পাঠ ১৪- নানা রকম লেখা","MCQ",3,3
"class-2","আমার বাংলা বই","পাঠ ১৫-","MCQ",1,1
"class-2","আমার বাংলা বই","পাঠ ১৭-রাজুর আঁকা ছবি","MCQ",4,4
"class-2","আমার বাংলা বই","পাঠ ১৮-গ্রাম ও শহর","MCQ",9,9
"class-2","আমার বাংলা বই","পাঠ ১৯-প্রজাপতি","CQ",1,1
"class-2","আমার বাংলা বই","পাঠ ১৯-প্রজাপতি","MCQ",1,1
